Date,AAPL,MSFT,NVDA,SPY,TSLA
2023-08-21,173.64308166503906,315.1056823730469,46.87567901611328,424.3499755859375,231.27999877929688
2023-08-22,175.01573181152344,315.6734619140625,45.57920455932617,423.2005615234375,233.19000244140625
2023-08-23,178.85714721679688,320.1178283691406,47.02439498901367,427.91412353515625,236.86000061035156
2023-08-24,174.17637634277344,313.2358703613281,47.0713005065918,421.98358154296875,230.0399932861328
2023-08-25,176.37850952148438,316.1825866699219,45.92852783203125,424.9584655761719,238.58999633789062
2023-08-28,177.9387664794922,316.8873291015625,46.74393844604492,427.6532897949219,238.82000732421875
2023-08-29,181.81964111328125,321.4982604980469,48.68914031982422,433.8348693847656,257.17999267578125
2023-08-30,185.30555725097656,321.87030029296875,49.168216705322266,435.62176513671875,256.8999938964844
2023-08-31,185.52281188964844,320.8619689941406,49.259037017822266,434.98431396484375,258.0799865722656
2023-09-01,187.0929412841797,321.74298095703125,48.41468048095703,435.7956237792969,245.00999450683594
2023-09-05,187.3299560546875,326.53009033203125,48.45361328125,433.9122009277344,256.489990234375
2023-09-06,180.624755859375,325.8741760253906,46.973365783691406,430.9952392578125,251.9199981689453
2023-09-07,175.3415985107422,322.9666442871094,46.15489196777344,429.6720275878906,251.49000549316406
2023-09-08,175.95387268066406,327.23492431640625,45.48714065551758,430.3190612792969,248.5
2023-09-11,177.119140625,330.82769775390625,45.093875885009766,433.149169921875,273.5799865722656
2023-09-12,174.09738159179688,324.78753662109375,44.78644943237305,430.7730407714844,267.4800109863281
2023-09-13,172.0334930419922,328.9872741699219,45.40030288696289,431.27532958984375,271.29998779296875
2023-09-14,173.5443572998047,331.5716857910156,45.496124267578125,434.99395751953125,276.0400085449219
2023-09-15,172.82347106933594,323.2701721191406,43.8182487487793,429.7530212402344,274.3900146484375
2023-09-18,175.74649047851562,322.1345520019531,43.88412094116211,430.00506591796875,265.2799987792969
2023-09-19,176.832763671875,321.73321533203125,43.438961029052734,429.11328125,266.5
2023-09-20,173.29745483398438,314.0190124511719,42.16034698486328,425.16827392578125,262.5899963378906
2023-09-21,171.7569580078125,312.80511474609375,40.94062042236328,418.1409912109375,255.6999969482422
2023-09-22,172.60623168945312,310.338134765625,41.53252029418945,417.20074462890625,244.8800048828125
2023-09-25,173.88011169433594,310.85699462890625,42.14337921142578,418.9551696777344,246.99000549316406
2023-09-26,169.8115997314453,305.57073974609375,41.83295440673828,412.8001708984375,244.1199951171875
2023-09-27,168.30068969726562,306.20697021484375,42.388916015625,412.9649353027344,240.5
2023-09-28,168.5574493408203,307.0390930175781,43.008766174316406,415.3591003417969,246.3800048828125
2023-09-29,169.07093811035156,309.1046447753906,43.41800308227539,414.3510437011719,250.22000122070312
2023-10-02,171.5792236328125,315.02728271484375,44.698612213134766,414.186279296875,251.60000610351562
2023-10-03,170.24609375,306.7943115234375,43.43596267700195,408.6419372558594,246.52999877929688
2023-10-04,171.49034118652344,312.2471618652344,43.95899200439453,411.61767578125,261.1600036621094
2023-10-05,172.72474670410156,312.6386413574219,44.60478973388672,411.46258544921875,260.04998779296875
2023-10-06,175.27249145507812,320.3724670410156,45.67678451538086,416.3477783203125,260.5299987792969
2023-10-09,176.7537384033203,322.87860107421875,45.188697814941406,419.0133056640625,259.6700134277344
2023-10-10,176.16127014160156,321.4786682128906,45.71271896362305,421.1942138671875,263.6199951171875
